Date, Open, High, Low, Close
04/05/23, 4094.50, 4099.69, 4072.56, 4090.38
04/04/23, 4128.03, 4133.13, 4086.87, 4100.60
04/03/23, 4102.20, 4127.66, 4098.79, 4124.51
03/31/23, 4056.18, 4110.75, 4056.18, 4109.31
03/30/23, 4046.74, 4057.85, 4032.10, 4050.83
03/29/23, 3999.53, 4030.59, 3999.53, 4027.81
03/28/23, 3974.13, 3979.20, 3951.53, 3971.27
03/27/23, 3982.93, 4003.83, 3970.49, 3977.53
03/24/23, 3939.21, 3972.74, 3909.16, 3970.99
03/23/23, 3959.21, 4007.66, 3919.05, 3948.72
03/22/23, 4002.04, 4039.49, 3936.17, 3936.97
03/21/23, 3975.89, 4009.08, 3971.19, 4002.87
03/20/23, 3917.47, 3956.62, 3916.89, 3951.57
03/17/23, 3958.69, 3958.91, 3901.27, 3916.64
03/16/23, 3878.93, 3964.46, 3864.11, 3960.28
03/15/23, 3876.74, 3894.26, 3838.24, 3891.93
03/14/23, 3894.01, 3937.29, 3873.63, 3919.29
03/13/23, 3835.12, 3905.05, 3808.86, 3855.76
03/10/23, 3912.77, 3934.05, 3846.32, 3861.59
03/09/23, 3998.66, 4017.81, 3908.70, 3918.32
03/08/23, 3987.55, 4000.41, 3969.76, 3992.01
03/07/23, 4048.26, 4050.00, 3980.31, 3986.37
03/06/23, 4055.15, 4078.49, 4044.61, 4048.42
03/03/23, 3998.02, 4048.29, 3995.17, 4045.64
03/02/23, 3938.68, 3990.84, 3928.16, 3981.35
03/01/23, 3963.34, 3971.73, 3939.05, 3951.39
02/28/23, 3977.19, 3997.50, 3968.98, 3970.15
02/27/23, 3992.36, 4018.05, 3973.55, 3982.24
02/24/23, 3973.24, 3978.25, 3943.08, 3970.04
02/23/23, 4018.60, 4028.30, 3969.19, 4012.32
02/22/23, 4001.83, 4017.37, 3976.90, 3991.05
02/21/23, 4052.35, 4052.35, 3995.19, 3997.34
02/17/23, 4077.73, 4081.51, 4047.95, 4079.09
02/16/23, 4114.75, 4136.54, 4089.49, 4090.41
02/15/23, 4119.50, 4148.11, 4103.98, 4147.60
02/14/23, 4126.70, 4159.77, 4095.01, 4136.13
02/13/23, 4096.62, 4138.90, 4092.67, 4137.29
02/10/23, 4068.92, 4094.36, 4060.79, 4090.46
02/09/23, 4144.25, 4156.23, 4069.67, 4081.50
02/08/23, 4153.47, 4156.85, 4111.67, 4117.86
02/07/23, 4105.35, 4176.54, 4088.39, 4164.00
02/06/23, 4119.57, 4124.63, 4093.38, 4111.08
02/03/23, 4136.69, 4182.36, 4123.36, 4136.48
02/02/23, 4158.68, 4195.44, 4141.88, 4179.76
02/01/23, 4070.07, 4148.95, 4037.20, 4119.21
01/31/23, 4020.85, 4077.16, 4020.44, 4076.60
01/30/23, 4049.27, 4063.85, 4015.55, 4017.77
01/27/23, 4053.72, 4094.21, 4048.70, 4070.56
01/26/23, 4036.08, 4061.57, 4013.29, 4060.43
01/25/23, 3982.71, 4019.55, 3949.06, 4016.22
01/24/23, 4001.74, 4023.92, 3989.79, 4016.95
01/23/23, 3978.14, 4039.31, 3971.64, 4019.81
01/20/23, 3909.04, 3972.96, 3897.86, 3972.61
01/19/23, 3911.84, 3922.94, 3885.54, 3898.85
01/18/23, 4002.25, 4014.16, 3926.59, 3928.86
01/17/23, 3999.28, 4015.39, 3984.57, 3990.97
01/13/23, 3960.32, 4003.95, 3947.67, 3999.09
01/12/23, 3977.57, 3997.76, 3937.56, 3983.17
01/11/23, 3932.35, 3970.07, 3928.54, 3969.61
01/10/23, 3888.57, 3919.83, 3877.29, 3919.25
01/09/23, 3910.82, 3950.57, 3890.42, 3892.09
01/06/23, 3823.37, 3906.19, 3809.56, 3895.08
