Nyckeltal,2023-04-28,2023-03-31,2022-10-27,2022-07-14,2022-04-28,2022-03-31,2021-10-27,2021-07-14,2021-04-28,2021-03-31,2020-10-27,2020-07-14,2020-04-28,2020-03-31,2019-10-27,2019-07-14,2019-04-28,2019-03-31,2018-10-27,2018-07-14,2018-04-28,2018-03-31,2017-10-27,2017-07-14,2017-04-28
Fastighetsrelaterade nyckeltal,,,,,,,,,,,,,,,,,,,,,,,,,
"Marknadsvärde fastigheter, mkr",134419,135616,154511,157400,158919,149335,124960,116845,104736,90185,81187,72974,80235,79542,30776,30331,27201,25243,25122,25637,23816,23001,22052,21143,16892
Antal fastigheter,2052,2050,2317,2537,2337,2241,1893,1902,1786,1618,1455,1302,1342,1394,842,790,644,570,782,812,753,749,720,720,712
"Antal kvm, tusental",4708,4627,5346,5502,5566,5425,5029,4943,4573,3958,3820,3715,4180,4233,1795,1797,1466,1330,1402,1493,1380,1366,1359,1325,1058
"Överskottsgrad, %",70,60,71,69,63,64,75,70,65,65,71,70,67,61,68,69,56,60,69,66,60,67,71,65,55
"Direktavkastning, %",4.4,4.1,3.8,3.8,3.8,3.8,4,4.1,4.3,4.3,4.5,4.6,4.7,4.8,4.8,4.7,4.6,4.7,4.8,4.6,4.7,4.8,4.7,4.7,4.7
"Ekonomisk uthyrningsgrad, %",95.5,95.3,95.2,95.1,94.3,94.1,93.7,93.9,93.7,93.6,94.5,94,94.3,94.8,95.3,95.4,96.6,96.2,96.9,96.6,96.5,96.8,97,96.9,98.7
"Genomsnittlig kontraktslängd samhällsfastigheter, år",10,10,11,11,11,11,9,9,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,8
Finansiella nyckeltal,,,,,,,,,,,,,,,,,,,,,,,,,
"Hyresintäkter, mkr",1725,1850,1888,1878,1831,1695,1459,1451,1325,1253,1204,1323,1341,596,507,464,429,453,427,410,390,384,370,348,236
"Driftnetto, mkr",1206,1105,1333,1290,1153,1082,1089,1018,858,810,852,922,895,362,343,320,240,274,293,272,233,257,263,226,131
"Periodens resultat, mkr",-3898,-7949,-2081,-2721,2939,12553,4003,6558,2735,3350,3139,1223,1372,1287,404,717,216,691,482,405,113,381,362,1038,648
"Kassaflöde från den löpande verksamheten, mkr ",284,812,884,1045,738,694,589,743,389,642,411,758,444,238,263,147,97,-7,99,116,40,140,88,100,32
"Eget kapital exkl. innehav utan bestämmande inflytande, mkr",37344,44321,57132,59323,66069,63009,47983,44147,41303,37244,31711,24770,24167,24304,10872,10662,9580,9009,7391,6948,6592,6389,6040,5596,4438
"Avkastning på eget kapital, % ",-6,-11,neg,neg,3,17,6,11,5,8,8,3,4,5,3,5,2,7,5,5,1,5,5,18,19
"Belåningsgrad, %",47,49,47,46,42,40,35,37,35,35,42,50,50,41,38,43,52,53,56,59,62,58,59,60,64
