Date,Close,Percent Change,Opening Price,Ask,Bid,High,Low,Volume,Turnover,Total Return
2017-01-02,8.27,234.43,8.27,8.27,8.22,8.27,8.06,16678,136523.00,8.27
2017-01-03,8.19,232.14,8.24,8.27,8.19,8.27,8.19,26763,219983.90,8.1894
2017-01-04,8.38,237.47,8.27,8.38,8.16,8.38,8.19,33404,274915.90,8.3774
2017-01-05,8.38,237.47,8.38,8.38,8.32,8.38,8.32,8688,72672.00,8.3774
2017-01-09,8.30,235.19,8.38,8.30,8.08,8.38,8.06,61656,503530.00,8.2968
2017-01-10,8.06,228.34,8.06,8.16,8.06,8.27,8.06,13076,105543.00,8.0552
2017-01-11,7.97,226.05,8.06,8.03,7.97,8.06,7.97,46450,372380.10,7.9746
2017-01-12,8.30,235.19,8.19,8.30,8.19,8.35,8.06,33541,275501.80,8.2968
2017-01-13,8.16,231.38,8.27,8.16,8.06,8.27,8.00,24685,200384.00,8.1626
2017-01-16,8.43,238.99,8.14,8.43,8.32,8.57,8.14,81942,681902.30,8.4311
2017-01-17,8.43,238.99,23.55,8.43,8.30,23.55,7.76,1348661,15094041.30,8.4311
2017-01-18,8.39,237.73,8.48,8.39,8.34,8.70,8.12,98489,828149.75,8.3865
2017-01-19,8.03,227.61,8.39,8.03,7.94,8.43,7.72,89329,720798.45,8.0296
2017-01-20,7.90,223.82,8.03,7.99,7.81,8.03,7.58,102170,798559.85,7.8958
2017-01-23,8.39,237.73,7.90,8.34,8.12,8.65,7.14,97024,776708.20,8.3865
2017-01-24,8.03,227.61,8.30,8.16,8.03,8.39,7.94,29404,237949.75,8.0296
2017-01-25,8.12,230.14,8.16,8.12,7.94,8.21,7.85,21977,175174.55,8.1188
2017-01-26,8.16,231.41,8.12,8.12,8.03,8.21,7.94,27411,221690.20,8.1635
2017-01-27,8.21,232.67,8.12,8.34,8.21,8.43,7.85,12464,101949.75,8.2081
2017-01-30,8.12,230.14,8.21,8.12,8.03,8.88,8.03,27605,229584.05,8.1188
2017-01-31,7.85,222.55,8.12,7.90,7.85,8.34,7.76,16918,134018.15,7.8512
2017-02-01,8.03,227.61,8.03,8.03,7.72,8.03,7.49,53838,422631.40,8.0296
2017-02-02,7.85,222.55,8.12,8.12,7.85,8.21,7.58,15362,121287.55,7.8512
2017-02-03,7.81,221.29,7.85,7.99,7.85,8.12,7.81,368,2926.80,7.8066
2017-02-06,7.85,222.55,7.81,7.99,7.85,8.12,7.81,7231,57852.10,7.8512
2017-02-07,7.67,217.50,7.58,7.94,7.67,7.85,7.58,16876,130025.20,7.6728
2017-02-08,7.67,217.50,7.94,7.81,7.63,7.94,7.54,6506,50228.75,7.6728
